WardName,Wardcode,Pop2013,Aged0_15,Aged16_64,Aged65plus,PctBame,PctNotBornUK,MeanHousePrice2013,PctOpenSpace,CarsPerHH2011,AvgPubTransAccessibility11,CrimeRate1213,PopDensityKm2013,PctWithNoQual11,PctLev4Qual11,TurnoutMayoralElection12,Candidate,x,y,InnerOuter
Merton - Village,E05000472,8750,1700,5300,1750,17.1,34.0,1155000,62.1922,1.400749064,2.3,68.1,1411.3,6.8,62.3,46.55276382,Boris,523049.5301,171291.742,Outer
Merton - West Barnes,E05000473,10150,2100,6650,1400,30.0,33.7,405000,32.3147,1.1327800829999999,2.7,62.2,5075.0,13.9,41.9,41.03343465,Boris,522876.6824,168064.2458,Outer
Merton - Wimbledon Park,E05000474,11550,2550,8000,1000,20.4,32.9,632500,28.5081,0.96126021,3.2,57.8,5021.7,7.8,59.6,44.6820484,Boris,525411.9912,171930.5553,Outer
Newham - Beckton,E05000475,16000,3500,11750,800,54.2,49.7,225500,30.859,0.739819005,2.9,122.3,2539.7,19.2,27.9,21.713005399999997,Ken,543741.949,181699.7836,Inner
Newham - Boleyn,E05000476,16250,4000,10950,1300,78.1,54.8,228000,6.08427,0.607954545,4.1,85.2,18055.6,22.4,28.8,33.69914644,Ken,541695.2842,183325.5643,Inner
Newham - Canning Town North,E05000477,15750,3450,11100,1200,59.2,47.9,222000,21.7297,0.509615385,4.5,93.6,6300.0,25.7,23.9,27.29742499,Ken,539379.7314,182306.1181,Outer
Newham - Canning Town South,E05000478,18300,3600,13500,1200,54.5,47.5,215000,26.5803,0.5149418060000001,3.7,71.6,10166.7,22.6,33.3,23.28167116,Ken,540089.4478,181249.2642,Inner
Newham - Custom House,E05000479,14150,3350,9850,950,53.5,46.9,223500,30.6228,0.6867271229999999,3.1,113.3,6738.1,25.3,24.2,22.76746793,Ken,541322.9047,181202.6811,Inner
Newham - East Ham Central,E05000480,16200,3500,11500,1200,81.9,61.4,210000,10.8842,0.604247104,4.7,139.7,16200.0,19.3,32.6,33.70976253,Ken,542414.5746,183527.1732,Inner
Newham - East Ham North,E05000481,14150,2950,10100,1100,90.8,60.2,241500,12.2692,0.689863014,4.4,64.5,15722.2,19.9,31.1,35.4810717,Ken,542354.1246,184630.7454,Inner
Newham - East Ham South,E05000482,15950,4250,10500,1200,67.7,46.6,205500,23.4796,0.6975903609999999,2.7,72.8,8861.1,24.3,24.1,30.44686527,Ken,542912.7436,182655.0542,Inner
Newham - Forest Gate North,E05000483,16500,3400,11900,1200,64.1,50.5,248000,13.829,0.605806226,3.1,78.8,13750.0,17.8,33.0,30.83298363,Ken,540138.9958,185543.5345,Inner
Newham - Forest Gate South,E05000484,17850,3500,13150,1200,68.2,54.8,250000,2.22926,0.558700938,3.7,105.1,14875.0,17.6,32.7,29.16168857,Ken,540170.5446,184908.9156,Inner
Newham - Green Street East,E05000485,16150,3550,11700,950,89.9,62.2,234000,2.36766,0.633161109,3.8,74.4,23071.4,20.3,30.0,34.2601989,Ken,541361.205,184513.0939,Inner
Newham - Green Street West,E05000486,15350,3200,11000,1150,89.3,61.1,223000,3.18718,0.6568965520000001,4.0,81.7,19187.5,21.6,29.8,33.78846987,Ken,540773.4992,184299.28399999999,Inner
Newham - Little Ilford,E05000487,16950,4600,11200,1150,82.0,54.5,213750,48.6274,0.579307647,2.6,80.1,8921.1,23.2,24.6,31.39935414,Ken,542700.3429,185884.853,Inner
Newham - Manor Park,E05000488,15500,3650,10750,1100,81.5,56.2,221500,26.5879,0.656781509,3.8,79.9,11923.1,20.7,30.2,31.011429800000002,Ken,541838.353,185436.9946,Inner
Newham - Plaistow North,E05000489,15700,3650,10900,1150,73.4,52.1,221000,10.2938,0.548311536,4.4,69.8,15700.0,23.6,26.8,30.77893771,Ken,540425.9367,183378.6213,Inner
Newham - Plaistow South,E05000490,16650,4400,11100,1100,67.3,51.7,210000,14.5393,0.586980712,4.5,90.9,11892.9,21.8,26.2,30.20333562,Ken,541095.1985,182530.7221,Inner
Newham - Royal Docks,E05000491,13650,2800,10300,550,54.1,48.3,252500,57.7886,0.6844393590000001,2.5,71.5,2843.8,14.1,42.7,21.30849614,Ken,542138.7404,180210.2962,Inner
Newham - Stratford and New Town,E05000492,22400,3150,18050,1150,59.2,54.9,249250,11.1756,0.424833038,5.6,261.9,5333.3,13.9,40.6,24.28251775,Ken,538375.2101,184242.0004,Inner
Newham - Wall End,E05000493,15050,3750,10350,1000,82.2,59.8,215000,33.9354,0.7012987009999999,3.8,64.8,10750.0,19.6,29.6,35.65005818,Ken,543189.9929,183950.8095,Inner
Newham - West Ham,E05000494,15950,3300,11500,1150,65.5,51.2,236000,27.226,0.542962963,5.1,73.3,12269.2,20.9,29.8,28.92178524,Ken,539600.4261,183770.32100000003,Inner
Redbridge - Aldborough,E05000495,15450,3500,10050,1900,61.3,38.4,250000,76.7588,1.100899101,2.7,77.0,1796.5,19.6,32.0,34.83775137,Ken,546199.5579,190041.0489,Outer
