,UUID,OBJEKTART,NAME,SPRACHCODE,E,N,"Z,,"
274689,{68830497-9619-46DC-8B20-796FEA244188},Flurname swisstopo,Sackwald,Hochdeutsch inkl. Lokalsprachen,2602307,1166214,"961,,"
257676,{2FEF74BD-C4D0-4DE6-B578-AE3AA7DBD00B},Flurname swisstopo,Ober Dunkelhölzlirain,Hochdeutsch inkl. Lokalsprachen,2685208,1236965,"556,,"
161694,{FB3E004C-A5C3-468C-9946-2B346FA35EF3},Flurname swisstopo,Le Sapin,Franzoesisch inkl. Lokalsprachen,2509823,1121897,"467,,"
69536,{DDD9D574-40A7-4E3D-AC7B-8EF72FD546D8},Flurname swisstopo,Ahoren,Hochdeutsch inkl. Lokalsprachen,2668691,1176081,"1180,,"
211563,{6E9AFAD3-61A9-4A3B-B9FD-02271473A6D8},Flurname swisstopo,Lärchwald,Hochdeutsch inkl. Lokalsprachen,2645591,1134793,"1314,,"
242108,{3BBB1883-8997-4589-8173-BCA20C563825},Flurname swisstopo,Crestaulta,Rumantsch Grischun inkl. Lokalsprachen,2726258,1168984,"1727,,"
232931,{4667FE37-7AB5-49CB-9DBE-AC998471C80B},Flurname swisstopo,Reisc,Italienisch inkl. Lokalsprachen,2717124,1142088,"714,,"
281412,{419B7953-EC31-4C77-BB3D-4E70C0F3F6B3},Flurname swisstopo,Prés de Rances,Franzoesisch inkl. Lokalsprachen,2531716,1181581,"567,,"
141862,{4D18D209-79C1-4015-9E13-F2193CD54C38},Flurname swisstopo,Werd,Hochdeutsch inkl. Lokalsprachen,2703841,1259792,"602,,"
208714,{15C09A24-C168-4A5C-BBF1-BD22A08CC614},Flurname swisstopo,Weid,Hochdeutsch inkl. Lokalsprachen,2651068,1254808,"453,,"
77908,{A19AEA9D-7417-4DE1-9E39-50838679E5E7},Flurname swisstopo,Choler,Hochdeutsch inkl. Lokalsprachen,2659800,1253089,"410,,"
217890,{BB22AD17-2387-4934-9FC8-A46A068EA03A},Flurname swisstopo,Sarrecon,Franzoesisch inkl. Lokalsprachen,2581926,1089946,"1505,,"
208557,{EBC80841-DA00-40FE-9240-180D9F4C8ACD},Flurname swisstopo,Sommerhalde,Hochdeutsch inkl. Lokalsprachen,2649786,1261539,"479,,"
68523,{72841DF4-05AF-47D8-8AB7-745BDC3FF7DA},Flurname swisstopo,Chopf,Hochdeutsch inkl. Lokalsprachen,2643685,1256773,"570,,"
162051,{3F5C3CF8-EB05-4A06-8DB7-5733E660DBB2},Flurname swisstopo,Chez Vacher,Franzoesisch inkl. Lokalsprachen,2509856,1118852,"481,,"
139664,{4EC72163-E491-492B-AE87-00894670FE6F},Flurname swisstopo,Lochmüli,Hochdeutsch inkl. Lokalsprachen,2750981,1258793,"468,,"
311956,{37CA1569-36EE-42E7-98B0-CA1A00CA4E32},Haltestelle Bus,"Weggis, Magnolienweg",Hochdeutsch inkl. Lokalsprachen,2677444,1208732,"505,"
243437,{C58D2BA5-765B-49B3-86F7-EFBD095D2980},Flurname swisstopo,Nardavos,Rumantsch Grischun inkl. Lokalsprachen,2746433,1187714,"771,,"
112094,{5D3D49C0-F65D-4CFA-BF1E-E3FE0ABC64F6},Flurname swisstopo,Ziegelraa,Hochdeutsch inkl. Lokalsprachen,2719379,1263545,"527,,"
254090,{4988FE2F-D02D-49F5-8D8E-9BE4DA02A7B5},Flurname swisstopo,Holderbergli,Hochdeutsch inkl. Lokalsprachen,2730071,1205465,"858,,"
244004,{50983B23-AE88-44F5-B458-143F907177C6},Flurname swisstopo,Tscharfalz,Hochdeutsch inkl. Lokalsprachen,2739640,1182703,"899,,"
322598,{0240FD83-92D7-46D0-809F-C03F63DCD0C7},Uebrige Bahnen,Champoussin En l'Au,Franzoesisch inkl. Lokalsprachen,2554748,1116488,"1780,,"
151984,{9267073D-8AF0-4025-A2A5-FCA89F906991},Flurname swisstopo,Beckenweid,Hochdeutsch inkl. Lokalsprachen,2705282,1247743,"683,,"
37324,{0A1EECBD-A947-43BA-8A07-A67CEFFC6BE1},Lokalname swisstopo,Länzenchanzel,Hochdeutsch inkl. Lokalsprachen,2678146,1188549,"2196,,"
64306,{A7372520-640C-4712-8DA9-58DF2103A286},Flurname swisstopo,Woogmatt,Hochdeutsch inkl. Lokalsprachen,2657001,1273727,"313,,"
181767,{090A6EEE-3E7B-428A-A73C-F8AC25608CF0},Flurname swisstopo,Schwarzwasserrain,Hochdeutsch inkl. Lokalsprachen,2594664,1190415,"648,,"
196145,{ABAED165-EAB7-40A4-BDD0-B0A8725CE16C},Flurname swisstopo,Underem Sattel,Hochdeutsch inkl. Lokalsprachen,2590890,1140823,"1263,,"
247164,{802AC852-3054-4B76-9D53-DCCC0D0787D8},Flurname swisstopo,Joderställi,Hochdeutsch inkl. Lokalsprachen,2767306,1205634,"675,,"
64032,{4FCADD56-4461-43CB-ABE7-4A8FB3722DD2},Lokalname swisstopo,Hostafel,Hochdeutsch inkl. Lokalsprachen,2652487,1141637,"1930,,"
144068,{29311292-BD1A-4F92-AFBC-7F8932B0D8EC},Flurname swisstopo,Sunnenbüel,Hochdeutsch inkl. Lokalsprachen,2680687,1262317,"412,,"
127094,{AEF05E34-ACDA-4967-B08D-8540DF337FF2},Flurname swisstopo,Rollhafen,Hochdeutsch inkl. Lokalsprachen,2753491,1203471,"1190,,"
102725,{E13AB9C8-A8D0-4404-B984-F556AC8B3CEB},Flurname swisstopo,Le Begnon,Franzoesisch inkl. Lokalsprachen,2570901,1237468,"969,,"
838,{ADDEA3F1-526C-41F2-BB3E-11434B8B7092},Gebaeude,Mülenen 30m,Hochdeutsch inkl. Lokalsprachen,2619316,1165844,"683,,"
70755,{1CA1AEF9-009E-4CA2-BC42-BEE64927BDD4},Flurname swisstopo,Chalbermatt,Hochdeutsch inkl. Lokalsprachen,2665021,1247992,"379,,"
38116,{6144E119-86EF-467E-8ACE-A1542B7C721C},Lokalname swisstopo,Les Raveires,Franzoesisch inkl. Lokalsprachen,2576530,1129139,"1825,,"
164190,{9C80D2BA-29A8-4E5B-BA45-9DCA9868672C},Flurname swisstopo,Obere Ischlag,Hochdeutsch inkl. Lokalsprachen,2651530,1247500,"417,,"
286559,{CE193D2F-0AC3-402B-8802-774389197E9E},Flurname swisstopo,Cuoi,Hochdeutsch inkl. Lokalsprachen,2757549,1171304,"1471,,"
308274,{65E3E2BB-2AF2-4DB3-8FB0-7B2EF4380C0D},Haltestelle Bus,"Bachs, Milchhütte",Hochdeutsch inkl. Lokalsprachen,2675255,1264509,"462,"
194305,{06BCC366-D7DB-40CF-BA39-2A45ED5CCD83},Flurname swisstopo,Halte,Hochdeutsch inkl. Lokalsprachen,2596931,1151923,"1233,,"
240216,{0FD6A5D0-C27C-4001-AE90-752CA9DCEA8C},Flurname swisstopo,Ritzi,Hochdeutsch inkl. Lokalsprachen,2729539,1164047,"2543,,"
30063,{88F1C078-7E62-4F34-B363-3A381A165F47},Lokalname swisstopo,Ecoulâ,Franzoesisch inkl. Lokalsprachen,2558597,1176221,"631,,"
175686,{F88966CD-10EE-4FC5-9710-E40940DC51FD},Flurname swisstopo,Au Vua que Brit,Franzoesisch inkl. Lokalsprachen,2565946,1189664,"457,,"
283351,{D3990B15-73C8-4A77-BD7D-AB7036554203},Flurname swisstopo,En Forchy,Franzoesisch inkl. Lokalsprachen,2523490,1156512,"607,,"
221182,{38980825-B9C1-45E7-AEB9-4812C951E6CA},Flurname swisstopo,Les Pesses,Franzoesisch inkl. Lokalsprachen,2569192,1241139,"642,,"
257457,{F41D952C-306D-4913-90A1-76DE483B644D},Flurname swisstopo,Fuortgas,Rumantsch Grischun inkl. Lokalsprachen,2723370,1186382,"2448,,"
46409,{7CA963EB-483A-4636-8911-CC3391F8FFDA},Flurname swisstopo,Moosacker,Hochdeutsch inkl. Lokalsprachen,2600562,1216556,"477,,"
293722,{601072D4-8422-4F60-B5BD-3A37D3AA9385},Flurname swisstopo,Penette,Franzoesisch inkl. Lokalsprachen,2583589,1103927,"1300,,"
141721,{1B1E297F-FAB1-43D7-A6E7-4F1B7F1F2CE6},Flurname swisstopo,Täschen,Hochdeutsch inkl. Lokalsprachen,2704097,1258406,"715,,"
103428,{025DEBD3-9098-47D8-BB3A-08B1B03736EC},Flurname swisstopo,Sodacker,Hochdeutsch inkl. Lokalsprachen,2612511,1248616,"609,,"
322259,{1CFB103F-21F3-4096-95C5-18F8C6083CA9},Haltestelle Bus,"Emmenbrücke, Bahnhof Süd",Hochdeutsch inkl. Lokalsprachen,2664111,1213484,"434,"
254361,{389D72CE-1AF0-4085-89E2-E5FDFC215795},Flurname swisstopo,Stueleggwald,Hochdeutsch inkl. Lokalsprachen,2733086,1200962,"1583,,"
166931,{3F6B1BD7-F4AE-4633-9C13-441902D5A796},Flurname swisstopo,A Cris,Italienisch inkl. Lokalsprachen,2723777,1080728,"572,,"
305847,{9D7E0973-CC5D-4EFB-A6D6-98ABCF8D337B},Haltestelle Bus,"Sumiswald, Gammenthal",Hochdeutsch inkl. Lokalsprachen,2622776,1209394,"680,"
48246,{93FEFCC5-7438-4295-BF6F-67A323BCCFE5},Flurname swisstopo,Rödelhölzli,Hochdeutsch inkl. Lokalsprachen,2596946,1211789,"531,,"
194434,{907CF28D-8A01-4FC1-93D3-7D64D81EB75B},Flurname swisstopo,Schwand,Hochdeutsch inkl. Lokalsprachen,0,0,"1685,,"
165909,{E81883AE-DEE5-4254-97E7-F7C78DBE3AF5},Flurname swisstopo,Sur l'Aua d'Ent,Italienisch inkl. Lokalsprachen,2771466,1140222,"1480,,"
27644,{72CBE150-A8CA-40FB-95D9-6561367E40E9},Lokalname swisstopo,Cortaccia,Italienisch inkl. Lokalsprachen,2710484,1108468,"1498,,"
251104,{4EABD38F-172F-46C2-BAD9-0C387385DE2A},Flurname swisstopo,Näfleten,Hochdeutsch inkl. Lokalsprachen,2720698,1217518,"1144,,"
124732,{3F260C07-FA2E-43B5-97E6-E5A405A1BA97},Flurname swisstopo,Chronenriet,Hochdeutsch inkl. Lokalsprachen,2690692,1214299,"798,,"
135209,{7F652193-E2DC-4706-B6B2-DB8AAF4746A6},Flurname swisstopo,Feistergubel,Hochdeutsch inkl. Lokalsprachen,2710019,1245992,"765,,"
33982,{9689E8C1-34F7-4C78-B810-5CC79415ACA2},Lokalname swisstopo,Pian Murinascia,Italienisch inkl. Lokalsprachen,2699040,1155751,"2001,,"
100117,{89BF2931-BF6B-4A1C-BD95-23C0AF645D23},Flurname swisstopo,Bräd,Hochdeutsch inkl. Lokalsprachen,2679548,1209360,"1114,,"
28415,{6C739B66-8A6F-4199-9922-26B9BFA317B6},Lokalname swisstopo,Galo,Hochdeutsch inkl. Lokalsprachen,2634510,1136201,"2251,,"
45763,{DDD6946C-267D-40B3-A525-2544EF8B91C0},Flurname swisstopo,Wüestrüti,Hochdeutsch inkl. Lokalsprachen,2613050,1235579,"929,,"
139277,{BE108AD2-89EC-4331-AC3D-B1D28179497C},Flurname swisstopo,Tüfenlachen,Hochdeutsch inkl. Lokalsprachen,2723978,1251869,"623,,"
127654,{0F904ABB-AC05-45C0-A20D-C18B3060F28F},Flurname swisstopo,Luggenböden,Hochdeutsch inkl. Lokalsprachen,2746092,1211638,"1479,,"
10559,{A53A7EA2-4021-47F9-9EB4-268764F7B925},Landesgrenzstein,91,k_W,2606411,1262736,"420,,"
185501,{FF9C615A-B675-47C8-A2A0-D2A26E72F038},Flurname swisstopo,Le Verny,Franzoesisch inkl. Lokalsprachen,2576268,1167894,"1012,,"
83701,{C387DCFD-2822-4FE8-B16A-37396A330CD1},Flurname swisstopo,Ägi,Hochdeutsch inkl. Lokalsprachen,2617961,1153299,"966,,"
131619,{9766266F-E10E-4C24-B96B-F4979A7B6DC1},Flurname swisstopo,Rütimatt,Hochdeutsch inkl. Lokalsprachen,2676308,1237730,"481,,"
286180,{6A941AB7-0A76-4531-9AA8-8675199F5835},Flurname swisstopo,Runi,Hochdeutsch inkl. Lokalsprachen,2683678,1262544,"471,,"
93666,{7042A49F-8B85-4210-844C-747A99569574},Flurname swisstopo,Blölebode,Hochdeutsch inkl. Lokalsprachen,2673552,1269151,"358,,"
111983,{31813825-5124-4199-8F55-F5515D3C92E1},Flurname swisstopo,Oberlätte,Hochdeutsch inkl. Lokalsprachen,2717417,1265287,"477,,"
123340,{85A34153-1DC3-457D-BB31-3E496D6AB671},Flurname swisstopo,Escheren,Hochdeutsch inkl. Lokalsprachen,2691077,1204034,"1156,,"
51919,{6DC042DC-88C5-4A70-B79C-48C45CBBA510},Flurname swisstopo,Gumme,Hochdeutsch inkl. Lokalsprachen,2588106,1208559,"507,,"
277154,{601F63ED-936D-4EE9-92CB-67D57B084462},Flurname swisstopo,Wältschland,Hochdeutsch inkl. Lokalsprachen,2622737,1229524,"487,,"
69489,{2C0FB2B8-215A-4CBD-82CF-6384A66D3101},Flurname swisstopo,Bachhüsli,Hochdeutsch inkl. Lokalsprachen,2672150,1222437,"445,,"
111446,{4621E90D-5195-4D44-BB22-22AB3A2387A1},Flurname swisstopo,Grüüss,Hochdeutsch inkl. Lokalsprachen,2692992,1288278,"481,,"
130990,{773B393D-D76E-41A1-9EE0-577D8ECECCF5},Flurname swisstopo,Steintaler Wald,Hochdeutsch inkl. Lokalsprachen,2728453,1231251,"954,,"
50683,{0FB4F52A-0B3C-45AE-9115-3310A9DD92DF},Flurname swisstopo,Im Moos,Hochdeutsch inkl. Lokalsprachen,2607193,1214577,"493,,"
324979,{B39ACA97-788A-44B6-8399-CAC9E46A50D8},Ausfahrt,Avenches,Franzoesisch inkl. Lokalsprachen,2568311,1192320,"442,,"
218574,{0997EFF4-9BD6-4AAF-92DC-FA564DFC92C1},Flurname swisstopo,Les Dzerbes,Franzoesisch inkl. Lokalsprachen,2569449,1105146,"1171,,"
66350,{DB95377C-28BF-4AD5-A43D-C56C1CF68ABE},Flurname swisstopo,Sennershus,Hochdeutsch inkl. Lokalsprachen,2631967,1210256,"970,,"
48708,{56A9C2C2-49A3-4B78-8F38-C8A67AF1D678},Flurname swisstopo,Weiermatt,Hochdeutsch inkl. Lokalsprachen,2614142,1262379,"346,,"
145151,{38F0652A-202A-47BF-A59F-507D50FEF6F0},Flurname swisstopo,Unter der Chinzen,Hochdeutsch inkl. Lokalsprachen,2690213,1275257,"372,,"
291164,{35B17F6B-84DE-4BAC-BEA5-3B15AC3DADB7},Flurname swisstopo,Städelisweidli,Hochdeutsch inkl. Lokalsprachen,2693518,1209118,"780,,"
226573,{A92A97A6-D9E4-4252-8A53-E53CE3B74D1C},Flurname swisstopo,Chrüzändiberg,Hochdeutsch inkl. Lokalsprachen,2704719,1204395,"1238,,"
222936,{347E951B-3299-43E3-B8B8-5FF9E4BF9942},Flurname swisstopo,Les Royers,Franzoesisch inkl. Lokalsprachen,2559917,1213761,"1151,,"
155627,{0C150C0A-724E-4EA2-85FA-A8489DA41028},Flurname swisstopo,Irninger,Hochdeutsch inkl. Lokalsprachen,2694751,1235963,"538,,"
3021,{BAA013D4-7811-45FA-948C-1AD8596D2588},Gebaeude,Bierkeller,Hochdeutsch inkl. Lokalsprachen,2689184,1209005,"454,,"
29686,{ACAD4851-AFF5-46A2-AC7D-E031E95C8822},Lokalname swisstopo,Gerra,Italienisch inkl. Lokalsprachen,2720861,1130591,"885,,"
219905,{117F50B4-2878-4F49-8E99-03CB6A029542},Flurname swisstopo,Champ Baroud,Franzoesisch inkl. Lokalsprachen,2539328,1197133,"785,,"
141234,{65EF42A5-225E-4C72-8BF4-EF458AAE08AB},Flurname swisstopo,Buechacher,Hochdeutsch inkl. Lokalsprachen,2694774,1254420,"512,,"
140471,{354A6618-AA6E-4628-9D02-8F8AC10D5D3D},Flurname swisstopo,Hindertal,Hochdeutsch inkl. Lokalsprachen,2672919,1258283,"532,,"
117023,{CEA61514-7E39-4275-B823-0B2465A0A905},Flurname swisstopo,Moshalde,Hochdeutsch inkl. Lokalsprachen,2707504,1276895,"527,,"
86066,{29577639-C0F7-47B2-8517-8CC81302FB30},Flurname swisstopo,Rüchligrain,Hochdeutsch inkl. Lokalsprachen,0,0,"497,,"
75608,{1C8BDBB8-C7D8-4CAC-9F27-674EE95B1FCE},Flurname swisstopo,Eichhalde,Hochdeutsch inkl. Lokalsprachen,2658356,1266843,"503,,"
297082,{E3CA07B7-B74C-444A-ABD2-4E023D78E36B},Lokalname swisstopo,Cortino,Italienisch inkl. Lokalsprachen,2691319,1148163,"1505,,"
205640,{C29A9DD1-0953-4CA0-A465-7027C0D0FDD5},Flurname swisstopo,Anglikerweg,Hochdeutsch inkl. Lokalsprachen,2661521,1248228,"454,,"
85219,{4185DA61-8340-4736-89AE-0130C88AA0FE},Flurname swisstopo,Stuelebode,Hochdeutsch inkl. Lokalsprachen,2638947,1221427,"682,,"
58422,{BEA84965-1D69-4135-A76F-271024330EB9},Flurname swisstopo,Rütele,Hochdeutsch inkl. Lokalsprachen,2591711,1215344,"495,,"
35083,{1DD8C6FB-D0E8-4B58-A26B-4327712BF7CD},Lokalname swisstopo,Chöpf,Hochdeutsch inkl. Lokalsprachen,2707238,1206246,"1743,,"
68503,{4B3D2DB6-9B5E-48FA-9840-9090BB77AF75},Flurname swisstopo,Werlige,Hochdeutsch inkl. Lokalsprachen,2657613,1216368,"608,,"
211359,{96CB67CB-0F3D-4FB9-98F2-67291C593416},Flurname swisstopo,Unner Impel,Hochdeutsch inkl. Lokalsprachen,2645645,1134669,"1302,,"
241474,{A101B4E9-E006-49E0-9304-3194F7585A74},Flurname swisstopo,Crusch,Rumantsch Grischun inkl. Lokalsprachen,2733767,1180867,"947,,"
201673,{EE46EFA3-DEEA-44FD-BBD5-6F880AE010BA},Flurname swisstopo,Dirrustand,Hochdeutsch inkl. Lokalsprachen,2616822,1127158,"648,,"
91905,{D92C8AE9-5646-406D-B8D2-D756BB66C6D2},Flurname swisstopo,Ober Rote,Hochdeutsch inkl. Lokalsprachen,2658066,1209711,"579,,"
300207,{E3C66A6F-2E0E-4459-89AF-AFADFAA758C3},Haltestelle Bahn,Meiringen,Hochdeutsch inkl. Lokalsprachen,2656972,1175392,"595,,"
116162,{689DCD0F-27A2-4E97-AA91-4A651D1B43D9},Flurname swisstopo,Mettelegg,Hochdeutsch inkl. Lokalsprachen,2734256,1266213,"525,,"
77873,{5B2E7E29-38E7-4B4C-A9ED-B95A3530034F},Flurname swisstopo,Hagacher,Hochdeutsch inkl. Lokalsprachen,2664067,1242556,"428,,"
192121,{E68209E0-F454-4E2A-BDDA-30B1325DB2BB},Flurname swisstopo,Mad,Hochdeutsch inkl. Lokalsprachen,2602898,1161960,"1286,,"
168168,{BB711E30-5A2F-419E-9912-0E77358D7CBF},Flurname swisstopo,Al Bógh,Italienisch inkl. Lokalsprachen,2720652,1088947,"731,,"
271189,{E42C91D4-B4A3-48F2-82A5-983F3F92F9BC},Flurname swisstopo,Sur Sombeval,Franzoesisch inkl. Lokalsprachen,2579813,1229206,"999,,"
242399,{EFFCD273-0D78-4005-B7C6-5C12DA0404DE},Flurname swisstopo,Plaun la Punt,Rumantsch Grischun inkl. Lokalsprachen,2727097,1180473,"752,,"
221911,{833AB7AC-BBBE-4214-B788-32755B0584C3},Flurname swisstopo,Les Suvars,Franzoesisch inkl. Lokalsprachen,2559633,1210529,"751,,"
320050,{CE2C5E14-20AC-4809-B15D-71B7C4507E64},Haltestelle Bus,"Visperterminen, Chlei Derfji",Hochdeutsch inkl. Lokalsprachen,2634936,1124570,"993,"
223314,{BFE27941-5231-4448-B639-80ECF29A4FCF},Flurname swisstopo,Les Péquies,Franzoesisch inkl. Lokalsprachen,2576603,1226638,"664,,"
125637,{83ED252F-40CB-4126-9CAA-701FFB16F359},Lokalname swisstopo,Garzott,Italienisch inkl. Lokalsprachen,2718986,1159084,"1635,,"
187001,{AF834B85-158E-4F72-B6BE-A1A2A20F6B0A},Flurname swisstopo,Schürstalden,Hochdeutsch inkl. Lokalsprachen,2583348,1176501,"824,,"
250417,{08CCF0C2-268B-4C6E-B14C-6991444F0695},Flurname swisstopo,Röza,Hochdeutsch inkl. Lokalsprachen,0,0,"979,,"
74363,{A67B6EF2-DC91-4C3B-B5E5-2C17448897EB},Flurname swisstopo,Ängi,Hochdeutsch inkl. Lokalsprachen,2651968,1208028,"749,,"
191334,{11EAE25E-544F-404D-9C87-3343065DE802},Flurname swisstopo,Lochmesbüel,Hochdeutsch inkl. Lokalsprachen,2606768,1177074,"683,,"
127276,{C82FDEC5-E0B2-49A6-B356-6E93E865E4A8},Flurname swisstopo,Chammhalde,Hochdeutsch inkl. Lokalsprachen,2753515,1202367,"1753,,"
201547,{C85B3AAE-B294-4D37-900B-DB55582AFDC3},Flurname swisstopo,Funtani,Hochdeutsch inkl. Lokalsprachen,2614759,1129333,"637,,"
83711,{8BCE10FB-111F-44CB-8231-D3E04F203778},Flurname swisstopo,Wale,Hochdeutsch inkl. Lokalsprachen,2662160,1251502,"362,,"
86630,{AE370868-58F9-4E54-A07F-355ECC286B7B},Flurname swisstopo,Üsseres Herdli,Hochdeutsch inkl. Lokalsprachen,2662742,1262420,"540,,"
218700,{88615939-E5A4-43F0-ACCE-5BF7BA2BC32E},Flurname swisstopo,Les Courtenaux,Franzoesisch inkl. Lokalsprachen,2574553,1106343,"457,,"
264165,{F647165B-06F2-49C1-8C7F-2DBE971F24F0},Flurname swisstopo,La Terrière,Franzoesisch inkl. Lokalsprachen,2576703,1253202,"467,,"
90839,{6B6CB39E-AF13-4A36-A865-CC1CAAA0ED49},Flurname swisstopo,Liechtguetweid,Hochdeutsch inkl. Lokalsprachen,2627550,1207475,"953,,"
251546,{509E859F-6A0A-40B8-973E-07A47EDB6203},Flurname swisstopo,Wuestwald,Hochdeutsch inkl. Lokalsprachen,2713735,1210582,"1480,,"
76006,{532590BF-58AF-4256-83C1-12C421CFCCEF},Flurname swisstopo,Balmweid,Hochdeutsch inkl. Lokalsprachen,2652716,1217201,"731,,"
14463,{0DD89DDA-333A-4AC2-B588-6F7AC471C183},"Grotte, Hoehle",Nasenlöcher,Hochdeutsch inkl. Lokalsprachen,2745045,1236813,"1878,"
246795,{5B6CB866-8BC0-418A-99D2-232149494AC0},Flurname swisstopo,Cadruvi,Rumantsch Grischun inkl. Lokalsprachen,2761964,1196082,"642,,"
315910,{59AB8C3D-82AE-41DE-BC98-424896ED029A},Haltestelle Bus,"Niedermuhlern, Bachmühle",Hochdeutsch inkl. Lokalsprachen,2600899,1190679,"776,"
244507,{7A508B09-F80F-41EF-896C-65D117175FC3},Flurname swisstopo,Rotasteinerböda,Hochdeutsch inkl. Lokalsprachen,2753502,1190632,"1020,,"
274611,{50DA09BF-5AD5-4F76-AFFD-24A867945718},Flurname swisstopo,Hüpbachweid,Hochdeutsch inkl. Lokalsprachen,2599833,1167826,"969,,"
174268,{FA888263-27AB-48EE-A526-31D114987964},Flurname swisstopo,Guma,Hochdeutsch inkl. Lokalsprachen,2578708,1191052,"615,,"
105533,{51212C8B-726A-4CF8-BD0A-A851BD21676A},Flurname swisstopo,Aachelisbrüggli,Hochdeutsch inkl. Lokalsprachen,2734691,1273014,"544,,"
51459,{DA6BA1EB-C7C0-4C9B-90CD-896FFD433956},Flurname swisstopo,Wäsmeli,Hochdeutsch inkl. Lokalsprachen,2594185,1228997,"1103,,"
821,{52DABC92-A939-4C44-9795-99C980530BE5},Gebaeude,Grünhornhütte,Hochdeutsch inkl. Lokalsprachen,2714687,1185465,"2449,,"
296886,{4A0C3F9F-B6BC-440E-A316-8E779E7DB2A9},Flurname swisstopo,Büira,Italienisch inkl. Lokalsprachen,2701590,1118663,"862,,"
184763,{9CD2E7B6-93FA-47D6-B741-68D14FEAAF3A},Flurname swisstopo,Le Paquialet d'Enhaut,Franzoesisch inkl. Lokalsprachen,2578240,1156282,"1453,,"
96959,{21EBF06A-F772-438C-91AD-9A66E6F5D8A0},Flurname swisstopo,Ronenrüti,Hochdeutsch inkl. Lokalsprachen,2685822,1193684,"1448,,"
277889,{045909BC-CF73-458B-8AF2-26DC4BC75E1E},Flurname swisstopo,Längmatt,Hochdeutsch inkl. Lokalsprachen,2605235,1178467,"636,,"
244338,{99C023BD-7D5E-420E-B19F-792131A82288},Flurname swisstopo,Lut,Rumantsch Grischun inkl. Lokalsprachen,2733548,1183054,"1168,,"
89885,{63AB6B00-C5B2-4107-98E5-F77A4454EEB0},Flurname swisstopo,Neuberghalde,Hochdeutsch inkl. Lokalsprachen,2664713,1270196,"432,,"
208389,{66DA8D6D-0123-49FA-88A0-AC75DBAB204F},Flurname swisstopo,Untere Mühle,Hochdeutsch inkl. Lokalsprachen,2630823,1267288,"313,,"
12205,{3388617B-4B32-418F-B0C5-B3DBA803EA0E},Landesgrenzstein,236,k_W,2705240,1285550,"430,,"
125673,{AF868F54-85EA-485B-A07E-D315F92250D1},Lokalname swisstopo,Nollen,Hochdeutsch inkl. Lokalsprachen,2693730,1174772,"2093,,"
289911,{659DD051-640D-41AA-B9A3-69E4365F0531},Flurname swisstopo,Unter Brügelboden,Hochdeutsch inkl. Lokalsprachen,2670450,1195593,"1325,,"
116189,{9F8E7A79-A1D4-45DF-B3BA-E9ED34F28BE5},Flurname swisstopo,Stögge,Hochdeutsch inkl. Lokalsprachen,0,0,"502,,"
168529,{7177D3E8-4396-4481-A1B0-E360E813054B},Flurname swisstopo,Moja,Italienisch inkl. Lokalsprachen,2714675,1092827,"487,,"
293793,{48ECF650-C3FC-4BF5-AEA6-25DEDF91217E},Flurname swisstopo,La Piaire,Franzoesisch inkl. Lokalsprachen,2582176,1105315,"1481,,"
54160,{FAEEA8E3-410A-4D7D-9AF2-FAADF0FD8EC4},Flurname swisstopo,Zimmerig,Hochdeutsch inkl. Lokalsprachen,2599606,1229532,"629,,"
151911,{E0110306-2541-4E12-92D8-4CCFF18348F1},Flurname swisstopo,Möseren,Hochdeutsch inkl. Lokalsprachen,2736416,1242656,"1060,,"
75655,{6046883C-3D8B-4D94-8719-335BCB5B6ACD},Flurname swisstopo,Ängelacher,Hochdeutsch inkl. Lokalsprachen,2660125,1272551,"350,,"
138650,{4C518C0D-7CAB-4D75-BCF7-71BF79E9C72C},Flurname swisstopo,Wissenächer,Hochdeutsch inkl. Lokalsprachen,2686689,1252980,"477,,"
127438,{9539C1F4-0766-40C3-B227-7B9BE3D3E4FD},Flurname swisstopo,Holzenacher,Hochdeutsch inkl. Lokalsprachen,2701953,1248484,"617,,"
88690,{B97513BA-F2E6-47F1-A9B5-3799F12D711F},Flurname swisstopo,Ueliweid,Hochdeutsch inkl. Lokalsprachen,2642261,1236572,"540,,"
118481,{6A9C964C-E401-4CEC-A95B-B53C1C7148B6},Flurname swisstopo,Stägwis,Hochdeutsch inkl. Lokalsprachen,2722627,1266390,"499,,"
102201,{C916008F-55F1-46E7-898B-837CD91CDC81},Flurname swisstopo,Vorder Trosplangge,Hochdeutsch inkl. Lokalsprachen,2693461,1162291,"2017,,"
36613,{4A3C3A0F-0E35-452E-AD4F-F848EDB38F49},Lokalname swisstopo,Crevel,Franzoesisch inkl. Lokalsprachen,2558498,1192161,"464,,"
86023,{DA8251A9-A2A4-45EB-8A78-B31ED04847F9},Flurname swisstopo,Glashütteloch,Hochdeutsch inkl. Lokalsprachen,2643160,1203336,"781,,"
288898,{CE5146FC-4F8D-49F8-B62F-D525C6CC3CA1},Flurname swisstopo,Mockacher,Hochdeutsch inkl. Lokalsprachen,2653822,1236067,"511,,"
29538,{9372744B-1412-40C6-BAC2-BD90A892CA2D},Lokalname swisstopo,Botta Buera,Rumantsch Grischun inkl. Lokalsprachen,2795210,1164093,"1976,,"
163332,{2B20EBF3-9CE0-412E-9EF1-C2F990CEBFCA},Flurname swisstopo,Hübel,Hochdeutsch inkl. Lokalsprachen,2647994,1248576,"393,,"
