,UUID,OBJEKTART,NAME,SPRACHCODE,E,N,"Z,,"
6329,{7E2F1841-7FDC-408E-8226-340D7E42959F},Gebaeude,Grotto al Ponte,Italienisch inkl. Lokalsprachen,2707696,1124112,"549,,"
260562,{D3F0D35E-ED35-4451-B7DD-81886245897B},Flurname swisstopo,Sunntigweid,Hochdeutsch inkl. Lokalsprachen,2764299,1209545,"2097,,"
15853,{B4559815-4E37-4D88-8298-D6311E881496},Gipfel,Gross Siwellen,Hochdeutsch inkl. Lokalsprachen,2728650,1203152,"2097,,"
308639,{AFC68F4A-9AFB-4D44-8385-16AA3CC35BAA},Haltestelle Bus,"Döttingen, Bahnhof",Hochdeutsch inkl. Lokalsprachen,2661487,1269754,"325,"
65111,{5054D688-F9B5-499D-A67F-875548957C56},Flurname swisstopo,Rümlike,Hochdeutsch inkl. Lokalsprachen,2659663,1218707,"554,,"
112501,{B3D7D525-6811-451F-9D6C-7CA61739742C},Flurname swisstopo,Raa,Hochdeutsch inkl. Lokalsprachen,2735204,1270021,"482,,"
484,{A0212619-344B-4636-88CE-E41E3D9F978D},Gebaeude,Restaurant Grindelwaldblick,Hochdeutsch inkl. Lokalsprachen,2640006,1159922,"2107,,"
266967,{9A1507DE-9C9A-40A4-987E-865042DA7680},Flurname swisstopo,Bosco Savèrt,Italienisch inkl. Lokalsprachen,2705152,1144420,"1598,,"
180339,{3EC063C6-36E7-4A50-801D-FDA754FA878C},Flurname swisstopo,Schlossmatt,Hochdeutsch inkl. Lokalsprachen,2604059,1186658,"675,,"
75417,{C0837CD6-D6F8-4C73-843A-DFABACE18D11},Flurname swisstopo,Breite,Hochdeutsch inkl. Lokalsprachen,2638763,1264242,"503,,"
53427,{0D08EB0B-E922-4505-A8B6-81414690CF64},Flurname swisstopo,Pulversacher,Hochdeutsch inkl. Lokalsprachen,2603327,1212224,"559,,"
264061,{A833905C-0A08-4E34-9EA5-F0B32038614D},Flurname swisstopo,En Vadain,Franzoesisch inkl. Lokalsprachen,2569921,1249085,"522,,"
316388,{B3DE6DBE-7A91-46F0-AA60-CEBE5C5F8EC3},Haltestelle Bus,"Boltigen, Garstatt",Hochdeutsch inkl. Lokalsprachen,2595119,1160196,"858,"
205470,{8D5E9475-5A07-4587-83E9-51B68E0B574A},Flurname swisstopo,Steinbruch,Hochdeutsch inkl. Lokalsprachen,2661085,1263838,"438,,"
294042,{3D095093-CCFC-4968-9D1C-16F5042BC529},Flurname swisstopo,Pleincot,Franzoesisch inkl. Lokalsprachen,2577530,1097141,"953,,"
281516,{2FA80CA1-2265-41D7-BCF7-F2380B636A47},Flurname swisstopo,Afforex,Franzoesisch inkl. Lokalsprachen,2532315,1178978,"473,,"
305076,{2F0564FA-E16D-4059-BEFE-DD5F570067A0},Haltestelle Bus,"Niederhasli, Hofstetterstrasse",Hochdeutsch inkl. Lokalsprachen,2679464,1259531,"424,"
63973,{04A5D4B0-4AB1-4736-B235-F2FEBA9889A0},Lokalname swisstopo,Vers chez Bolliet,Franzoesisch inkl. Lokalsprachen,2543540,1191465,"1253,,"
197688,{EF983AC8-F284-42B0-8269-4839B7635C39},Flurname swisstopo,Gagna d'Az,Italienisch inkl. Lokalsprachen,2736511,1131617,"504,,"
283284,{7F09D172-56E2-4BCD-B40D-2FD2ABDB8610},Flurname swisstopo,Bois de Vufflens,Franzoesisch inkl. Lokalsprachen,2520688,1156323,"681,,"
181937,{9799B714-C5D5-4B4B-AF38-98A6AAC1460A},Flurname swisstopo,Chlywabere,Hochdeutsch inkl. Lokalsprachen,2601747,1196484,"568,,"
283214,{EC3DF903-B52D-4FA9-996C-436C18EAD5BF},Flurname swisstopo,La Plantée,Franzoesisch inkl. Lokalsprachen,2519170,1149429,"511,,"
131104,{86C71283-9233-4354-B54F-4E0476A32D4F},Flurname swisstopo,Plattechengelwand,Hochdeutsch inkl. Lokalsprachen,2752350,1235098,"1216,,"
220151,{14C0E56A-7BFE-447B-B502-AC60718AF8BD},Flurname swisstopo,Gravena,Franzoesisch inkl. Lokalsprachen,2547497,1194004,"613,,"
280383,{FD2EBA91-E371-43A6-9982-C4C752599DAF},Flurname swisstopo,I de Chöpf,Hochdeutsch inkl. Lokalsprachen,2730168,1228925,"1292,,"
156998,{3FE22BF8-55B0-4E37-B0F1-F7C554126769},Flurname swisstopo,Bergli,Hochdeutsch inkl. Lokalsprachen,2738496,1234331,"1124,,"
280005,{009484BD-7F9A-4EBE-8A9B-BA93BDBF9907},Flurname swisstopo,Le Piamenat,Franzoesisch inkl. Lokalsprachen,2604571,1245382,"563,,"
101124,{768B5FE7-E6E0-43B7-A7EC-E616B0EAD85C},Flurname swisstopo,Hasli,Hochdeutsch inkl. Lokalsprachen,2697583,1193014,"1075,,"
148173,{4855350C-7478-433B-82FE-5307B57011DE},Flurname swisstopo,Zelg,Hochdeutsch inkl. Lokalsprachen,2698526,1242509,"495,,"
16066,{77F3965E-BDA0-4EA7-8FAA-2DD71AC7068C},Felskopf,Tannkopf,Hochdeutsch inkl. Lokalsprachen,2759786,1213134,"1863,,"
79397,{3DE51542-34B7-4D4F-B952-BBF878A5C30E},Flurname swisstopo,Under Sattel,Hochdeutsch inkl. Lokalsprachen,2633568,1193031,"1078,,"
241614,{AAA28066-6635-46D7-948D-07A036535845},Flurname swisstopo,Caraun,Rumantsch Grischun inkl. Lokalsprachen,2728565,1172027,"1723,,"
79996,{A1CA49F0-8C08-4183-89FA-A4D5C9BFDDA8},Flurname swisstopo,Brünnere,Hochdeutsch inkl. Lokalsprachen,2663466,1252147,"359,,"
